text,cleaned_text
French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,"['french', 'cameroun', 'set', 'houses', 'ablaze', 'ndu', 'roasted', 'two', 'young', 'boys', 'homes', 'targeted', 'killings', 'genocideinsou']"
Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,"['cameroon', 'bir', 'soldiers', 'invaded', 'southerncameroons', 'village', 'kimar', 'setting', 'ablaze', 'total']"
As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,"['fires', 'ablaze', 'throughout', 'land', 'prophosized', 'apocalypse', 'comes', 'fruition', 'building', 'standing', 'come', 'st']"
"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36","['thankfultuesday', 'isaiah', 'pass', 'waters', 'pass', 'r']"
"⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…","['walk', 'fire', 'scorched', 'flames', 'set', 'ablaze', 'product']"
Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,"['originally', 'intended', 'fired', 'boarders', 'opposing', 'ship', 'crew', 'gunners', 'ships', 'riggi']"
Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,"['warm', 'greetings', 'occasion', 'lohri', 'winter', 'passes', 'may', 'everyone', 'woes', 'troubles', 'set', 'ablaze']"
"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…","['another', 'arson', 'njikom', 'boyo', 'nwr', 'ambazombies', 'yesterday', 'set', 'ablaze', 'council', 'building', 'country', 'wo']"
"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…","['another', 'public', 'market', 'haiti', 'mysteriously', 'set', 'ablaze', 'independent', 'merchants', 'overwhelmingly', 'women', 'become']"
that is kind true sadly,"['kind', 'true', 'sadly']"
I swear that jam will set the world ablaze,"['swear', 'jam', 'set', 'world', 'ablaze']"
"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…","['marivan', 'kurdistan', 'province', 'monday', 'jan', 'th', 'protesters', 'set', 'propaganda', 'banner', 'qassemsoleimani', 'ablaze']"
"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK","['marivan', 'kurdistan', 'province', 'monday', 'jan', 'th', 'protesters', 'set', 'propaganda', 'banner', 'qassemsoleimani', 'ablaze']"
How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,"['turn', 'blind', 'eye', 'icident', 'setting', 'ablaze', 'houses', 'h']"
"This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb","['love', 'completely', 'crazy', 'fucking', 'dreams', 'ripped', 'like', 'torn', 'jeans', 'ev']"
Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,"['terms', 'demon', 'burning', 'dark', 'ruined', 'people', 'use', 'magic', 'interact', 'without', 'harm', 'ac']"
"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP","['heartfelt', 'appreciation', 'prime', 'minister', 'yab', 'tun', 'dr', 'wife', 'yabhg', 'tun', 'dr', 'siti', 'hasmah', 'mohd', 'ali', 'fo']"
"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…","['watch', 'former', 'cm', 'akhilesh', 'yadav', 'went', 'meet', 'injured', 'kannauj', 'accident', 'hospital', 'chhibramau', 'asks', 'emergency', 'med']"
❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,"['gave', 'us', 'everything', 'horrible', 'foot', 'infection', 'wore', 'one', 'thong']"
"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…","['yeah', 'new', 'swag', 'point', 'since', 'accident', 'like', 'totally', 'transformed', 'bob']"
"This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj","['cool', 'days', 'git', 'push', 'origin', 'current', 'branch', 'name', 'know']"
#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,"['preorder', 'newrelease', 'today', 'witnesses', 'connected', 'investigating', 'thenutcrackerconspiracy', 'died', 'either']"
my back and neck are still fucked up from the accident 😡😡😭😭,"['back', 'neck', 'still', 'fucked', 'accident']"
RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,"['rt', 'prince', 'harry', 'confirmed', 'mother', 'princess', 'diana', 'death', 'accident']"
Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,"['note', 'democrats', 'muslim', 'ban', 'islam', 'race', 'soleimani', 'terrorist', 'amp', 'exterminated', 'assas']"
Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,"['juwan', 'johnson', 'oregon', 'one', 'big', 'dude', 'looks', 'like', 'tight', 'end', 'stuck', 'receiver', 'group', 'accident']"
More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,"['appearances', 'man', 'upside', 'face', 'new', 'year', 'eve', 'party', 'air', 'force', 'base', 'man']"
"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…","['speeding', 'car', 'rammed', 'group', 'people', 'returning', 'attending', 'temple', 'festival', 'ayyappan', 'kavu', 'thum']"
My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,"['friend', 'army', 'lost', 'father', 'accident', 'mom', 'right', 'still', 'unconscious', 'please', 'pray', 'mo']"
MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,"['mlindo', 'vocalist', 'another', 'car', 'accident']"
"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…","['greater', 'treasures', 'highest', 'human', 'qualities', 'compassion', 'courage', 'hope', 'even', 'tragic', 'accide']"
Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,"['please', 'help', 'friends', 'non', 'fault', 'accident', 'resulted', 'vehicle', 'writte']"
When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,"['hurt', 'younger', 'sibling', 'accident']"
David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,"['david', 'cameron', 'decision', 'hold', 'referendum', 'expressed', 'medium', 'road', 'traffic', 'accident']"
An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,"['auto', 'accident', 'injury', 'set', 'process', 'motion', 'get', 'complicated', 'find', 'long', 'takes', 'settle']"
no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,"['one', 'right', 'call', 'baby', 'accident', 'jd', 'called', 'blessing', 'used', 'loveliest', 'word', 'describe']"
I actually posted this by accident to twitter but have decided this can stay,"['actually', 'posted', 'accident', 'twitter', 'decided', 'stay']"
Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,"['question', 'let', 'say', 'happily', 'married', 'husband', 'dies', 'tragic', 'accident', 'deveststed', 'pussy']"
The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,"['kampala', 'metropolitan', 'east', 'custody', 'two', 'suspects', 'allegedly', 'strangled', 'death', 'passenger']"
"In completely available public information , the fires were mostly started by humans on purpose or on accident with th…","['completely', 'available', 'public', 'information', 'fires', 'mostly', 'started', 'humans', 'purpose', 'accident', 'th']"
During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,"['phd', 'colleague', 'went', 'way', 'bully', 'cause', 'work', 'discomfort']"
"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA","['speeding', 'car', 'rammed', 'group', 'people', 'returning', 'attending', 'temple', 'festival', 'ayyappan', 'ka']"
"6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…","['yr', 'old', 'bella', 'needs', 'new', 'home', 'due', 'incident', 'accident', 'live', 'older', 'kids', 'right', 'ho']"
"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…","['look', 'shit', 'need', 'little', 'ass', 'whooped', 'hit', 'somebody', 'accident', 'lecheminduroi', 'bransoncognac', 'starzge']"
You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,"['accident', 'earth', 'god', 'divinely', 'crafted', 'masterpiece', 'designed', 'destiny', 'v']"
Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,"['iran', 'says', 'shot', 'ukraine', 'international', 'flight', 'accident', 'picture', 'aircraft']"
Saw this truck with the container almost falling off this morning. Reported…,"['saw', 'truck', 'container', 'almost', 'falling', 'morning', 'reported']"
Judge less smile more. It isn’t the oldest profession by accident lol,"['judge', 'less', 'smile', 'oldest', 'profession', 'accident', 'lol']"
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,"['puerto', 'rico', 'hit', 'another', 'magnitude', 'aftershock', 'kyma']"
3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,"['aftershock', 'asleep', 'movement', 'bed', 'woke', 'scary', 'wish']"
"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…","['good', 'night', 'friends', 'per', 'usgs', 'new', 'quake', 'morning', 'caused', 'day', 'aftershock', 'forecast', 'change']"
Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,"['yea', 'wasnt', 'long', 'killed', 'like', 'seconds', 'sure', 'would']"
Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,"['honored', 'essay', 'aftershock', 'marking', 'th', 'anniversary', 'alvin', 'toffler', 'future', 'shock', 'compendium', 'essays']"
TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,"['tickets', 'sale', 'aftershock', 'nowplaying', 'k', 'hdradio']"
Come with us to Aftershock!,"['come', 'us', 'aftershock']"
o_O ! I think I felt your aftershock,"['think', 'felt', 'aftershock']"
A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,"['quick', 'comparison', 'ongoing', 'puerto', 'rico', 'earthquake', 'sequence', 'central', 'california', 'sequenc']"
"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…","['puerto', 'ricans', 'refusing', 'go', 'home', 'aside', 'aftershock', 'ground', 'southwest', 'puerto', 'rico']"
2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,"['inception', 'social', 'network', 'easy', 'black', 'swan', 'toy', 'story', 'kids', 'right', 'aftershock']"
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,"['puerto', 'rico', 'hit', 'another', 'magnitude', 'aftershock', 'kyma']"
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,"['puerto', 'rico', 'hit', 'another', 'magnitude', 'aftershock', 'kyma']"
A other Hard hit https://t.co/x3e2mf6DKo,"['hard', 'hit']"
"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.","['musharaf', 'verdict', 'mild', 'aftershock', 'extension', 'one', 'worry', 'comes', 'extention']"
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,"['puerto', 'rico', 'hit', 'another', 'magnitude', 'aftershock', 'kyma']"
Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,"['kumera', 'yellow', 'aftershock', 'ph', 'fossil', 'featured', 'bankbtn', 'good', 'living', 'magazine', 'photography', 'stylist', 'shino']"
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,"['puerto', 'rico', 'hit', 'another', 'magnitude', 'aftershock', 'kyma']"
Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,"['please', 'pray', 'puertorico']"
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,"['puerto', 'rico', 'hit', 'another', 'magnitude', 'aftershock', 'kyma']"
И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,"['yakov', 'z']"
Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,"['darkake', 'yeek', 'possessor', 'killed', 'possession', 'aftershock', 'ritches', 'tunnels']"
Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,"['check', 'latest', 'video', 'superzero', 'vol', 'closer', 'look', 'closer', 'look', 'superzero', 'vol']"
Might be a small aftershock. I didn't feel anything,"['might', 'small', 'aftershock', 'feel', 'anything']"
"Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg","['stay', 'informed', 'stay', 'engaged', 'whats', 'going', 'puertorico', 'earthquake', 'usgs', 'day', 'aftershock']"
This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,"['isnt', 'good', 'feel', 'people', 'puerto', 'rico']"
"Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU","['aftershock', 'vapor', 'pro', 'review', 'aussie', 'aussie', 'aussie', 'powerupau']"
Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,"['puerto', 'rico', 'worker', 'explains', 'earthquake', 'aftershock', 'pleading', 'go', 'viral', 'via']"
this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,"['unfathomable', 'number', 'lived', 'large', 'earthquake', 'slept', 'table', 'one', 'terrible', 'night']"
nah I need calm down 💀 https://t.co/eOKphShN5R,"['nah', 'need', 'calm']"
thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,"['thinking', 'spat', 'blood', 'marilyn', 'manson', 'set', 'aftershock']"
"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…","['two', 'quakes', 'magnitude', 'say', 'one', 'preshock', 'aftershock', 'one', 'obv']"
"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…","['aftershock', 'happens', 'within', 'days', 'main', 'shock', 'predict', 'say']"
I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,"['think', 'silivri', 'aftershock', 'silivri', 'months', 'ago', 'quake', 'professors', 'always', 'say', 'nonsen']"
I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,"['think', 'aftershock', 'lyrical', 'beat', 'brent', 'never', 'recovered']"
Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,"['apex', 'separating', 'monarch', 'separation', 'well', 'theory', 'mechagod']"
thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,"['thinking', 'spat', 'blood', 'marilyn', 'manson', 'set', 'aftershock']"
Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,"['sending', 'mate', 'simon', 'bar', 'asking', 'guiness', 'ending', 'carlsberg', 'export', 'mint']"
#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,"['usgs', 'earthquake', 'experts', 'puertorico', 'installing', 'temporary', 'seismometers', 'help', 'track', 'seismic', 'events', 'including', 'jan']"
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,"['puerto', 'rico', 'hit', 'another', 'magnitude', 'aftershock', 'kyma']"
"Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…","['weekend', 'puerto', 'rico', 'struck', 'aftershock', 'causing', 'damage', 'homes', 'schools', 'leaving', 'thou']"
How could you leave when I gave you my all 💔,"['could', 'leave', 'gave']"
"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…","['full', 'experience', 'start', 'one', 'st', 'series', 'food', 'running', 'low', 'save', 'young', 'governor']"
The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,"['magnitude', 'quake', 'puertorico', 'morning', 'caused', 'day', 'aftershock', 'forecast', 'change', 'estimate', 'increased']"
We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,"['continue', 'update', 'day', 'aftershock', 'forecast', 'scenarios', 'puertorico', 'forecasts', 'posted', 'english']"
Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,"['another', 'aftershock', 'hit', 'puerto', 'rico', 'last', 'night', 'people', 'go', 'home', 'even', 'one', 'po']"
Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,"['aftershock', 'comics', 'prefer', 'working', 'partnership', 'creators', 'build', 'team', 'ground']"
Did the other earthquake/aftershock mess up the power again?!,"['earthquake', 'aftershock', 'mess', 'power']"
Aftershock forecast for Puerto Rico,"['aftershock', 'forecast', 'puerto', 'rico']"
Like Iran shooting an airplane was an accident,"['like', 'iran', 'shooting', 'airplane', 'accident']"
Bing Bong Airplane Accident Remix,"['bing', 'bong', 'airplane', 'accident', 'remix']"
Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,"['morgan', 'surprised', 'see', 'shaun', 'back', 'work', 'already', 'offers', 'condolences', 'dad', 'shaun', 'says', 'airplan']"
"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C","['load', 'rubbish', 'never', 'imminent', 'threat', 'jesus', 'christ', 'iran', 'sho']"
"Actually, blocking the internet was just an accident. You know, just like when Iran shot down the Ukrainian airplane.","['actually', 'blocking', 'internet', 'accident', 'know', 'like', 'iran', 'shot', 'ukrainian', 'airplane']"
Conclusion 8 on previous page is incorrect IMHO. “The witness observations of a streak of light we… https://t.co/tz4Xv7uXCw,"['conclusion', 'previous', 'page', 'incorrect', 'imho', 'witness', 'observations', 'streak', 'light']"
"The celebrities in Iran that are very sadly about our compatriots that killed with downing UK airplane,not only di… https://t.co/CtjVwIcH2v","['celebrities', 'iran', 'sadly', 'compatriots', 'killed', 'downing', 'uk', 'airplane', 'di']"
So Iranian radars cannot tell the difference between an incoming missile and an out going Ukrainian airplane? What… https://t.co/hoeEJEUIHE,"['iranian', 'radars', 'tell', 'difference', 'incoming', 'missile', 'going', 'ukrainian', 'airplane']"
"Had a look at your timeline, i see you hate my coun… https://t.co/30cMQ9gsPj","['look', 'timeline', 'see', 'hate', 'coun']"
"MILITARY MISTAKES, 1988 US-MILITARY SHOT DOWN AN IRANIAN PASSENGER AIRPLANE! 2020 IRANIAN MILITARY SHOT DOWN AN UKR… https://t.co/177gbnqiHt","['military', 'mistakes', 'us', 'military', 'shot', 'iranian', 'passenger', 'airplane', 'iranian', 'military', 'shot', 'ukr']"
Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airplane U…,"['secret', 'anti', 'spying', 'services', 'middle', 'east', 'high', 'alert', 'demolition', 'commercial', 'airplane', 'u']"
"My friend i live here , believe me... Its our basic rights that know what happened… https://t.co/49nbXHuTfP","['friend', 'live', 'believe', 'basic', 'rights', 'know', 'happened']"
Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airpl… https://t.co/9pZViFDPkv,"['secret', 'anti', 'spying', 'services', 'middle', 'east', 'high', 'alert', 'demolition', 'commercial', 'airpl']"
How is it that Iran fired between 12 and 20 surface to surface missiles...…..then FIRED A SURFACE TO AIR MISSILE AT… https://t.co/mpkttFCAFB,"['iran', 'fired', 'surface', 'surface', 'missiles', 'fired', 'surface', 'air', 'missile']"
"Basically, you killed the general, put the whole country into a confusing status, they shoot a civ… https://t.co/P1lKrqhP1Y","['basically', 'killed', 'general', 'put', 'whole', 'country', 'confusing', 'status', 'shoot', 'civ']"
"No, I was referring to the shooting down of the airplane. I really do…","['referring', 'shooting', 'airplane', 'really']"
"No, I was referring to the shooting down of the airplane. I… https://t.co/xKVqRdtjhR","['referring', 'shooting', 'airplane']"
And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000 fee…,"['anyone', 'believes', 'incident', 'accident', 'idiot', 'airplane', 'approx', 'fee']"
And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000… https://t.co/axT3omjmE1,"['anyone', 'believes', 'incident', 'accident', 'idiot', 'airplane', 'approx']"
"Iran did not blow up an airplane by accident, they intended for it to be shot down! The accident is that it was a civilian aircraft!","['iran', 'blow', 'airplane', 'accident', 'intended', 'shot', 'accident', 'civilian', 'aircraft']"
But... The airplane accident...,"['airplane', 'accident']"
"Mr M u hold p.Trump accountable for the airplane accident.we r very sad too,but pls don’t tweet abo… https://t.co/cqsMfVTLMW","['mr', 'u', 'hold', 'p', 'trump', 'accountable', 'airplane', 'accident', 'r', 'sad', 'pls', 'tweet', 'abo']"
"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…","['dial', 'toll', 'free', 'phone', 'event', 'wish', 'report', 'fire', 'flood', 'theft', 'armed', 'robbery', 'kidnap']"
"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, k… https://t.co/1e2jgI6C8Q","['dial', 'toll', 'free', 'phone', 'event', 'wish', 'report', 'fire', 'flood', 'theft', 'armed', 'robbery', 'k']"
So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,"['iran', 'shoot', 'commercial', 'airplane', 'claim', 'accident', 'anyone', 'really', 'believe']"
You may be unaware that CND is currently in mourning. 57 Canadians were downed in an airplane by accident in Iran. Flag…,"['may', 'unaware', 'cnd', 'currently', 'mourning', 'canadians', 'downed', 'airplane', 'accident', 'iran', 'flag']"
"Sorry for your loss, Iran should never have shot the airplane out of the sky. ‘accident’ they say","['sorry', 'loss', 'iran', 'never', 'shot', 'airplane', 'sky', 'accident', 'say']"
"It wasn't, Iranians knew when takeoff was happening &amp; they knew the airplane manufacturer was American.… https://t.co/9JNbfB0zWH","['iranians', 'knew', 'takeoff', 'happening', 'amp', 'knew', 'airplane', 'manufacturer', 'american']"
Mass anti-government protests erupt in Iran after leaders admit to shooting down airliner. Still cannot believe w… https://t.co/dweXwdLBGn,"['mass', 'anti', 'government', 'protests', 'erupt', 'iran', 'leaders', 'admit', 'shooting', 'airliner', 'still', 'believe', 'w']"
I read the whole thread. He’s blaming Trump for Iran shooting down an ai… https://t.co/evL7sdNw0Z,"['read', 'whole', 'thread', 'blaming', 'trump', 'iran', 'shooting', 'ai']"
